,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
274,SDRW2100000427.1.1.95.wav,리메이크,0.0,6720.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000427.1.1.95.wav,0.0,168.0,191.0,R,cute!,ㅣ,0.88
281,SDRW2100000445.1.1.287.wav,리메이크,5120.0,10880.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000445.1.1.287.wav,128.0,421.0,489.0,R,cute!,ㅣ,0.812
282,SDRW2100000453.1.1.308.wav,리드,0.0,10240.0,여성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000453.1.1.308.wav,121.0,496.0,594.0,R,cute!,ㅣ,0.793
289,SDRW2100000482.1.1.226.wav,리프레시,5120.0,19520.0,여성,20대,경기,ㄹㅣㅍ,/home/hyohyeongjang/phonology/ri/SDRW2100000482.1.1.226.wav,377.0,956.0,969.0,R,cute!,ㅣ,0.978
291,SDRW2100000495.1.1.259.wav,리스크,26560.0,32000.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.259.wav,1062.0,1108.0,1101.0,R,cute!,ㅣ,1.179
292,SDRW2100000495.1.1.259.wav,리스크,40320.0,47360.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.259.wav,1062.0,1108.0,1101.0,R,cute!,ㅣ,1.179
293,SDRW2100000495.1.1.259.wav,리스크,26560.0,32000.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.259.wav,184.0,762.0,781.0,R,cute!,ㅣ,0.968
294,SDRW2100000495.1.1.259.wav,리스크,40320.0,47360.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.259.wav,184.0,762.0,781.0,R,cute!,ㅣ,0.968
295,SDRW2100000495.1.1.268.wav,리스크라는,0.0,14080.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.268.wav,0.0,501.0,569.0,R,cute!,ㅣ,0.88
296,SDRW2100000495.1.1.268.wav,리스크를,36480.0,46720.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.268.wav,0.0,501.0,569.0,R,cute!,ㅣ,0.88
297,SDRW2100000495.1.1.268.wav,리스크라는,0.0,14080.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.268.wav,624.0,810.0,855.0,R,cute!,ㅣ,0.805
298,SDRW2100000495.1.1.268.wav,리스크를,36480.0,46720.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000495.1.1.268.wav,624.0,810.0,855.0,R,cute!,ㅣ,0.805
314,SDRW2100000550.1.1.151.wav,리조트,5120.0,11520.0,남성,20대,서울,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2100000550.1.1.151.wav,424.0,488.0,551.0,R,cute!,ㅣ,0.504
316,SDRW2100000555.1.1.213.wav,리스너,22080.0,31360.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000555.1.1.213.wav,494.0,851.0,945.0,R,cute!,ㅣ,0.792
317,SDRW2100000555.1.1.216.wav,리스너로서,8640.0,18560.0,남성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000555.1.1.216.wav,505.0,623.0,690.0,R,cute!,ㅣ,0.638
322,SDRW2100000589.1.1.94.wav,리뷰,0.0,7360.0,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000589.1.1.94.wav,0.0,311.0,372.0,R,cute!,ㅣ,0.836
324,SDRW2100000601.1.1.43.wav,리뷰하고,28480.0,39040.0,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000601.1.1.43.wav,692.0,796.0,854.0,R,cute!,ㅣ,0.642
333,SDRW2100000655.1.1.180.wav,리모델링,6079.999999999996,10560.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000655.1.1.180.wav,0.0,263.0,320.0,R,cute!,ㅣ,0.822
334,SDRW2100000655.1.1.184.wav,리모델링도,3840.0,14080.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000655.1.1.184.wav,19.0,386.0,444.0,R,cute!,ㅣ,0.864
348,SDRW2100000733.1.1.192.wav,리드미컬하게,0.0,14720.0,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000733.1.1.192.wav,0.0,344.0,423.0,R,cute!,ㅣ,0.813
353,SDRW2100000745.1.1.43.wav,리스크는,0.0,14400.0,남성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000745.1.1.43.wav,8.0,467.0,485.0,R,cute!,ㅣ,0.962
387,SDRW2100000928.1.1.80.wav,리더로,40960.0,49920.0,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000928.1.1.80.wav,602.0,729.0,833.0,R,cute!,ㅣ,0.55
406,SDRW2100001070.1.1.66.wav,리뷰를,0.0,6400.0,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001070.1.1.66.wav,0.0,152.0,226.0,R,cute!,ㅣ,0.673
407,SDRW2100001070.1.1.79.wav,리뷰가,4800.0,16960.0,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001070.1.1.79.wav,367.0,480.0,498.0,R,cute!,ㅣ,0.863
408,SDRW2100001070.1.1.99.wav,리뷰를,0.0,6400.0,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001070.1.1.99.wav,0.0,156.0,181.0,R,cute!,ㅣ,0.862
429,SDRW2100001138.1.1.98.wav,리더,1600.0,8320.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001138.1.1.98.wav,140.0,276.0,404.0,R,cute!,ㅣ,0.515
505,SDRW2100001510.1.1.94.wav,리뷰나,13120.0,24640.0,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001510.1.1.94.wav,515.0,858.0,916.0,R,cute!,ㅣ,0.855
506,SDRW2100001519.1.1.276.wav,리메이크인,31680.0,42880.0,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001519.1.1.276.wav,648.0,756.0,810.0,R,cute!,ㅣ,0.667
509,SDRW2100001589.1.1.350.wav,리더랑,13760.0,24320.0,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001589.1.1.350.wav,503.0,772.0,822.0,R,cute!,ㅣ,0.843
515,SDRW2100001649.1.1.46.wav,리듬감이라고,14399.99999999999,22080.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001649.1.1.46.wav,163.0,443.0,501.0,R,cute!,ㅣ,0.828
516,SDRW2100001649.1.1.46.wav,리듬감이,32320.0,40000.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001649.1.1.46.wav,163.0,443.0,501.0,R,cute!,ㅣ,0.828
519,SDRW2100001701.1.1.260.wav,리뷰가,2560.0,10880.0,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001701.1.1.260.wav,166.0,488.0,525.0,R,cute!,ㅣ,0.897
521,SDRW2100001751.1.1.345.wav,리뷰를,4160.0,13120.0,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001751.1.1.345.wav,360.0,591.0,680.0,R,cute!,ㅣ,0.722
534,SDRW2100001810.1.1.430.wav,리스크가,16320.0,33280.0,남성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100001810.1.1.430.wav,951.0,1214.0,1284.0,R,cute!,ㅣ,0.79
537,SDRW2100001837.1.1.227.wav,리사,0.0,6400.0,남성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100001837.1.1.227.wav,166.0,254.0,258.0,R,cute!,ㅣ,0.957
554,SDRW2100001950.1.1.203.wav,리드클라이밍,3520.0,22400.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001950.1.1.203.wav,343.0,769.0,832.0,R,cute!,ㅣ,0.871
556,SDRW2100001965.1.1.284.wav,리메이크해서,0.0,16320.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001965.1.1.284.wav,0.0,158.0,226.0,R,cute!,ㅣ,0.699
612,SDRW2100003427.1.1.213.wav,리마인드,0.0,8320.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003427.1.1.213.wav,0.0,219.0,258.0,R,cute!,ㅣ,0.849
613,SDRW2100003435.1.1.55.wav,리모델링을,6720.0,22080.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003435.1.1.55.wav,365.0,810.0,879.0,R,cute!,ㅣ,0.866
616,SDRW2100003493.1.1.107.wav,리코더랑,28160.0,37120.0,여성,20대,서울,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2100003493.1.1.107.wav,466.0,611.0,614.0,R,cute!,ㅣ,0.98
681,SDRW2100003777.1.1.35.wav,리더를,0.0,11840.0,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100003777.1.1.35.wav,0.0,470.0,545.0,R,cute!,ㅣ,0.862
682,SDRW2100003777.1.1.41.wav,리더의,0.0,19200.0,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100003777.1.1.41.wav,0.0,777.0,855.0,R,cute!,ㅣ,0.909
686,SDRW2100003809.1.1.387.wav,리듬,33600.0,40320.0,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100003809.1.1.387.wav,605.0,757.0,802.0,R,cute!,ㅣ,0.772
688,SDRW2100003833.1.1.62.wav,리스트를,33280.0,50240.0,여성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100003833.1.1.62.wav,988.0,1086.0,1145.0,R,cute!,ㅣ,0.624
709,SDRW2100003878.1.1.70.wav,리조트,23360.0,34880.0,여성,20대,경기,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2100003878.1.1.70.wav,378.0,926.0,996.0,R,cute!,ㅣ,0.887
710,SDRW2100003897.1.1.256.wav,리코더,0.0,10240.0,남성,20대,경기,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2100003897.1.1.256.wav,0.0,318.0,347.0,R,cute!,ㅣ,0.916
711,SDRW2100003897.1.1.261.wav,리코더도,0.0,10240.0,남성,20대,경기,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2100003897.1.1.261.wav,0.0,284.0,309.0,R,cute!,ㅣ,0.919
712,SDRW2100003897.1.1.265.wav,리코더,10880.0,22080.0,남성,20대,경기,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2100003897.1.1.265.wav,604.0,793.0,820.0,R,cute!,ㅣ,0.875
738,SDRW2100003981.1.1.305.wav,리믹스,7360.0,14720.0,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003981.1.1.305.wav,585.0,631.0,672.0,R,cute!,ㅣ,0.529
741,SDRW2100003995.1.1.152.wav,리메이크,21760.0,30080.0,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003995.1.1.152.wav,497.0,737.0,798.0,R,cute!,ㅣ,0.797
771,SDRW2100004210.1.1.263.wav,리셀을,0.0,11520.0,남성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100004210.1.1.263.wav,344.0,449.0,521.0,R,cute!,ㅣ,0.593
772,SDRW2100004214.1.1.238.wav,리메이크한,18880.0,27840.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004214.1.1.238.wav,355.0,577.0,630.0,R,cute!,ㅣ,0.807
773,SDRW2100004214.1.1.267.wav,리메이크,2240.0,13120.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004214.1.1.267.wav,285.0,570.0,602.0,R,cute!,ㅣ,0.899
774,SDRW2100004214.1.1.271.wav,리메이크,8320.0,16960.0,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004214.1.1.271.wav,433.0,799.0,841.0,R,cute!,ㅣ,0.897
775,SDRW2100004225.1.1.42.wav,리듬감,4160.0,16640.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100004225.1.1.42.wav,126.0,737.0,800.0,R,cute!,ㅣ,0.907
776,SDRW2100004225.1.1.64.wav,리무진,0.0,9920.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004225.1.1.64.wav,192.0,275.0,689.0,R,cute!,ㅣ,0.167
777,SDRW2100004225.1.1.66.wav,리무진,0.0,7680.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004225.1.1.66.wav,0.0,211.0,220.0,R,cute!,ㅣ,0.959
797,SDRW2100004340.1.1.276.wav,리스크를,22720.0,35200.0,여성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100004340.1.1.276.wav,571.0,976.0,1067.0,R,cute!,ㅣ,0.817
806,SDRW2200000052.1.1.57.wav,리가,56960.0,59520.0,여성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000052.1.1.57.wav,544.0,605.0,645.0,R,cute!,ㅣ,0.604
809,SDRW2200000076.1.1.253.wav,리뷰를,19840.0,26880.0,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.253.wav,559.0,684.0,760.0,R,cute!,ㅣ,0.622
810,SDRW2200000076.1.1.258.wav,리뷰를,2560.0,10240.0,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.258.wav,256.0,445.0,486.0,R,cute!,ㅣ,0.822
812,SDRW2200000076.1.1.87.wav,리뷰,30080.0,35520.0,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.87.wav,557.0,670.0,248.0,R,cute!,ㅣ,-0.366
832,SDRW2200000143.1.1.80.wav,리클라이너,0.0,15040.0,여성,20대,서울,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2200000143.1.1.80.wav,128.0,309.0,309.0,R,cute!,ㅣ,1.0
849,SDRW2200000221.1.1.157.wav,료칸을,36160.0,47360.0,여성,20대,경기,ㄹㅛㅋ,/home/hyohyeongjang/phonology/ri/SDRW2200000221.1.1.157.wav,449.0,695.0,809.0,R,cute!,ㅛ,0.683
854,SDRW2200000231.1.1.90.wav,리벤져스라는,23360.0,33920.0,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000231.1.1.90.wav,498.0,585.0,625.0,R,cute!,ㅣ,0.685
857,SDRW2200000232.1.1.196.wav,리더기로,0.0,16640.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000232.1.1.196.wav,0.0,653.0,739.0,R,cute!,ㅣ,0.884
858,SDRW2200000232.1.1.198.wav,리더기에,0.0,10880.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000232.1.1.198.wav,121.0,336.0,417.0,R,cute!,ㅣ,0.726
