,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
930,SDRW2100004312.1.1.140.wav,니트를,0.0,10240.0,여성,20대,경기,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004312.1.1.140.wav,0.0,350.0,393.0,N,cute!,ㅣ,0.891
933,SDRW2200000001.1.1.81.wav,뉴스,17280.0,26880.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000001.1.1.81.wav,623.0,1009.0,1061.0,N,cute!,ㅠ,0.881
934,SDRW2200000001.1.1.82.wav,뉴스,0.0,2560.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000001.1.1.82.wav,3.0,8.0,138.0,N,cute!,ㅠ,0.037
937,SDRW2200000018.1.1.41.wav,뉴진스가,19200.0,27840.0,여성,20대,경기,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000018.1.1.41.wav,549.0,668.0,768.0,N,cute!,ㅠ,0.543
944,SDRW2200000074.1.1.10.wav,뉴진스,2240.0,11520.0,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000074.1.1.10.wav,224.0,321.0,442.0,N,cute!,ㅠ,0.445
947,SDRW2200000116.1.1.76.wav,뉴스,6080.0,11520.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000116.1.1.76.wav,274.0,531.0,532.0,N,cute!,ㅠ,0.996
948,SDRW2200000135.1.1.508.wav,니체가,0.0,6720.0,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.508.wav,0.0,149.0,227.0,N,cute!,ㅣ,0.656
950,SDRW2200000135.1.1.512.wav,니체가,0.0,6720.0,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.512.wav,0.0,195.0,274.0,N,cute!,ㅣ,0.712
951,SDRW2200000135.1.1.517.wav,니체,0.0,3520.0,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.517.wav,3.0,95.0,162.0,N,cute!,ㅣ,0.579
952,SDRW2200000135.1.1.85.wav,니체가,0.0,4800.0,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.85.wav,0.0,80.0,110.0,N,cute!,ㅣ,0.727
954,SDRW2200000144.1.1.210.wav,니즈를,0.0,5120.0,여성,20대,경기,ㄴㅣㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000144.1.1.210.wav,0.0,98.0,202.0,N,cute!,ㅣ,0.485
978,SDRW2200000320.1.1.79.wav,뉴스나,16000.0,31680.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000320.1.1.79.wav,683.0,1062.0,1096.0,N,cute!,ㅠ,0.918
1012,SDRW2200000683.1.1.28.wav,뉴진스,14720.0,23040.0,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000683.1.1.28.wav,414.0,640.0,723.0,N,cute!,ㅠ,0.731
1015,SDRW2200000698.1.1.207.wav,니들,0.0,5120.0,여성,20대,경기,ㄴㅣㄷ,/home/hyohyeongjang/phonology/ni/SDRW2200000698.1.1.207.wav,0.0,122.0,222.0,N,cute!,ㅣ,0.55
1016,SDRW2200000698.1.1.208.wav,니들,2240.0,8000.0,남성,20대,경기,ㄴㅣㄷ,/home/hyohyeongjang/phonology/ni/SDRW2200000698.1.1.208.wav,153.0,338.0,438.0,N,cute!,ㅣ,0.649
1017,SDRW2200000698.1.1.213.wav,니들이,9920.0,17920.0,남성,20대,경기,ㄴㅣㄷ,/home/hyohyeongjang/phonology/ni/SDRW2200000698.1.1.213.wav,500.0,774.0,857.0,N,cute!,ㅣ,0.768
