,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
162,SDRW2100000094.1.1.83.wav,뉴욕에서,뉴욕,0,11200,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000094.1.1.83.wav,0,426,480,N,cute!,ㅠ,0.887
138,SDRW2000001966.1.1.187.wav,뉴욕으로,뉴욕,0,10880,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2000001966.1.1.187.wav,0,305,321,N,cute!,ㅠ,0.95
166,SDRW2100000134.1.1.116.wav,뉴욕을,뉴욕,0,19200,남성,20대,경기,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000134.1.1.116.wav,148,632,783,N,cute!,ㅠ,0.762
1018,SDRW2200000719.1.1.165.wav,뉴욕을,뉴욕,0,11520,남성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2200000719.1.1.165.wav,44,383,443,N,cute!,ㅠ,0.85
944,SDRW2200000074.1.1.10.wav,뉴진스,뉴진스,2240,11520,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000074.1.1.10.wav,224,321,442,N,cute!,ㅠ,0.445
1012,SDRW2200000683.1.1.28.wav,뉴진스,뉴진스,14720,23040,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000683.1.1.28.wav,414,640,723,N,cute!,ㅠ,0.731
1040,SDRW2200000948.1.1.223.wav,뉴진스,뉴진스,3200,11200,남성,20대,경기,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000948.1.1.223.wav,263,350,441,N,cute!,ㅠ,0.489
1214,SDRW2200002590.1.1.2.wav,뉴진스,뉴진스,7040,15360,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200002590.1.1.2.wav,489,603,652,N,cute!,ㅠ,0.699
937,SDRW2200000018.1.1.41.wav,뉴진스가,뉴진스,19200,27840,여성,20대,경기,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000018.1.1.41.wav,549,668,768,N,cute!,ㅠ,0.543
1039,SDRW2200000948.1.1.208.wav,뉴진스가,뉴진스,0,11520,남성,20대,경기,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000948.1.1.208.wav,3,191,306,N,cute!,ㅠ,0.62
1213,SDRW2200002590.1.1.11.wav,뉴진스나,뉴진스,15040,30080,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200002590.1.1.11.wav,514,579,782,N,cute!,ㅠ,0.243
184,SDRW2100000442.1.1.262.wav,뉴질랜드였나,뉴질랜드,5760,21120,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2100000442.1.1.262.wav,433,570,655,N,cute!,ㅠ,0.617
1015,SDRW2200000698.1.1.207.wav,니들,니들,0,5120,여성,20대,경기,ㄴㅣㄷ,/home/hyohyeongjang/phonology/ni/SDRW2200000698.1.1.207.wav,0,122,222,N,cute!,ㅣ,0.55
1016,SDRW2200000698.1.1.208.wav,니들,니들,2240,8000,남성,20대,경기,ㄴㅣㄷ,/home/hyohyeongjang/phonology/ni/SDRW2200000698.1.1.208.wav,153,338,438,N,cute!,ㅣ,0.649
1017,SDRW2200000698.1.1.213.wav,니들이,니들,9920,17920,남성,20대,경기,ㄴㅣㄷ,/home/hyohyeongjang/phonology/ni/SDRW2200000698.1.1.213.wav,500,774,857,N,cute!,ㅣ,0.768
171,SDRW2100000203.1.1.293.wav,니모를,니모,0,9920,여성,20대,서울,ㄴㅣㅁ,/home/hyohyeongjang/phonology/ni/SDRW2100000203.1.1.293.wav,0,297,390,N,cute!,ㅣ,0.762
183,SDRW2100000428.1.1.97.wav,니즈도,니즈,22720,29120,남성,20대,서울,ㄴㅣㅈ,/home/hyohyeongjang/phonology/ni/SDRW2100000428.1.1.97.wav,540,662,780,N,cute!,ㅣ,0.508
954,SDRW2200000144.1.1.210.wav,니즈를,니즈,0,5120,여성,20대,경기,ㄴㅣㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000144.1.1.210.wav,0,98,202,N,cute!,ㅣ,0.485
353,SDRW2100001602.1.1.173.wav,니즈에,니즈,19520,24960,남성,20대,경기,ㄴㅣㅈ,/home/hyohyeongjang/phonology/ni/SDRW2100001602.1.1.173.wav,505,582,693,N,cute!,ㅣ,0.41
951,SDRW2200000135.1.1.517.wav,니체,니체,0,3520,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.517.wav,3,95,162,N,cute!,ㅣ,0.579
948,SDRW2200000135.1.1.508.wav,니체가,니체,0,6720,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.508.wav,0,149,227,N,cute!,ㅣ,0.656
950,SDRW2200000135.1.1.512.wav,니체가,니체,0,6720,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.512.wav,0,195,274,N,cute!,ㅣ,0.712
952,SDRW2200000135.1.1.85.wav,니체가,니체,0,4800,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.85.wav,0,80,110,N,cute!,ㅣ,0.727
1210,SDRW2200002572.1.1.291.wav,니키,니키,2240,7360,여성,20대,서울,ㄴㅣㅋ,/home/hyohyeongjang/phonology/ni/SDRW2200002572.1.1.291.wav,179,316,352,N,cute!,ㅣ,0.792
107,SDRW2000001454.1.1.243.wav,니트,니트,0,6080,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2000001454.1.1.243.wav,0,204,295,N,cute!,ㅣ,0.692
800,SDRW2100004155.1.1.54.wav,니트,니트,15680,21440,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004155.1.1.54.wav,572,720,815,N,cute!,ㅣ,0.609
1224,SDRW2200002661.1.1.52.wav,니트,니트,13760,20800,남성,20대,경기,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2200002661.1.1.52.wav,497,773,848,N,cute!,ㅣ,0.786
181,SDRW2100000395.1.1.97.wav,니트나,니트,0,11520,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100000395.1.1.97.wav,0,218,313,N,cute!,ㅣ,0.696
798,SDRW2100004155.1.1.351.wav,니트나,니트,8000,16000,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004155.1.1.351.wav,559,684,771,N,cute!,ㅣ,0.59
801,SDRW2100004155.1.1.75.wav,니트나,니트,8640,23040,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004155.1.1.75.wav,563,885,982,N,cute!,ㅣ,0.768
930,SDRW2100004312.1.1.140.wav,니트를,니트,0,10240,여성,20대,경기,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004312.1.1.140.wav,0,350,393,N,cute!,ㅣ,0.891
1197,SDRW2200002491.1.1.83.wav,니트를,니트,30720,37120,남성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2200002491.1.1.83.wav,546,680,753,N,cute!,ㅣ,0.647
1198,SDRW2200002505.1.1.78.wav,니트를,니트,5440,16320,여성,20대,경기,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2200002505.1.1.78.wav,525,676,710,N,cute!,ㅣ,0.816
