,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
334,SDRW2100000655.1.1.184.wav,리모델링도,리모델링,3840,14080,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000655.1.1.184.wav,19,386,444,R,cute!,ㅣ,0.864
613,SDRW2100003435.1.1.55.wav,리모델링을,리모델링,6720,22080,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003435.1.1.55.wav,365,810,879,R,cute!,ㅣ,0.866
268,SDRW2100000404.1.1.193.wav,리무진,리무진,0,11520,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000404.1.1.193.wav,0,439,522,R,cute!,ㅣ,0.841
776,SDRW2100004225.1.1.64.wav,리무진,리무진,0,9920,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004225.1.1.64.wav,192,275,689,R,cute!,ㅣ,0.167
777,SDRW2100004225.1.1.66.wav,리무진,리무진,0,7680,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004225.1.1.66.wav,0,211,220,R,cute!,ㅣ,0.959
231,SDRW2100000110.1.1.43.wav,리무진?,리무진,0,24640,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000110.1.1.43.wav,433,1167,1258,R,cute!,ㅣ,0.89
232,SDRW2100000110.1.1.45.wav,리무진을,리무진,29760,40640,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000110.1.1.45.wav,513,716,784,R,cute!,ㅣ,0.749
738,SDRW2100003981.1.1.305.wav,리믹스,리믹스,7360,14720,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003981.1.1.305.wav,585,631,672,R,cute!,ㅣ,0.529
224,SDRW2100000087.1.1.191.wav,리바이스,리바이스,2560,9280,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000087.1.1.191.wav,0,357,411,R,cute!,ㅣ,0.869
226,SDRW2100000087.1.1.191.wav,리바이스,리바이스,2560,9280,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000087.1.1.191.wav,568,607,704,R,cute!,ㅣ,0.287
969,SDRW2200000644.1.1.147.wav,리바이스가,리바이스,0,22720,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000644.1.1.147.wav,147,382,468,R,cute!,ㅣ,0.732
223,SDRW2100000087.1.1.184.wav,리바이스는,리바이스,5120,16960,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000087.1.1.184.wav,334,479,562,R,cute!,ㅣ,0.636
225,SDRW2100000087.1.1.191.wav,리바이스는,리바이스,45760,55680,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000087.1.1.191.wav,0,357,411,R,cute!,ㅣ,0.869
227,SDRW2100000087.1.1.191.wav,리바이스는,리바이스,45760,55680,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000087.1.1.191.wav,568,607,704,R,cute!,ㅣ,0.287
38,SDRW2000000241.1.1.146.wav,리버풀,리버풀,17600,23360,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000241.1.1.146.wav,433,516,561,R,cute!,ㅣ,0.648
39,SDRW2000000241.1.1.154.wav,리버풀,리버풀,18240,24960,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000241.1.1.154.wav,358,619,667,R,cute!,ㅣ,0.845
1010,SDRW2200000740.1.1.184.wav,리버풀,리버풀,0,10240,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000740.1.1.184.wav,0,211,302,R,cute!,ㅣ,0.699
1011,SDRW2200000740.1.1.203.wav,리버풀,리버풀,16960,37120,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000740.1.1.203.wav,1052,1396,1432,R,cute!,ㅣ,0.905
893,SDRW2200000352.1.1.150.wav,리버풀과의,리버풀,13120,24000,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000352.1.1.150.wav,445,617,681,R,cute!,ㅣ,0.729
