id,sex,age,principal_residence
SD2000461,여성,20대,충남
SD2000462,여성,60대,서울
SD2001639,여성,20대,경기
SD2001640,여성,40대,서울
SD2000464,남성,20대,서울
SD2000465,여성,40대,경기
SD2000465,여성,40대,경기
SD2000464,남성,20대,서울
SD2000466,남성,20대,서울
SD2000467,남성,20대,서울
SD2000466,남성,20대,서울
SD2000468,남성,30대,서울
SD2000469,남성,30대,서울
SD2000470,남성,20대,서울
SD2001637,여성,10대,서울
SD2001638,여성,10대,경기
SD2000471,남성,20대,대전
SD2000472,여성,20대,충남
SD2000471,남성,20대,대전
SD2000472,여성,20대,충남
SD2000473,여성,30대,경기
SD2000474,남성,20대,대전
SD2000473,여성,30대,경기
SD2000474,남성,20대,대전
SD2000475,여성,20대,부산
SD2000476,여성,20대,부산
SD2000475,여성,20대,부산
SD2000476,여성,20대,부산
SD2002031,남성,40대,충북
SD2002032,남성,10대,대전
SD2000477,여성,20대,부산
SD2000478,여성,20대,부산
SD2000479,남성,20대,광주
SD2000480,남성,20대,광주
SD2000479,남성,20대,광주
SD2000480,남성,20대,광주
SD2000481,여성,20대,광주
SD2000482,여성,20대,광주
SD2000481,여성,20대,광주
SD2000483,여성,20대,광주
SD2000484,여성,20대,전남
SD2000485,여성,20대,강원
SD2002405,여성,40대,부산
SD2002406,남성,50대,부산
SD2000487,남성,20대,광주
SD2000488,여성,20대,대구
SD2000489,남성,20대,제주
SD2000490,여성,20대,제주
SD2000489,남성,20대,제주
SD2000491,여성,20대,제주
SD2000492,여성,30대,서울
SD2000493,여성,30대,서울
SD2000494,여성,30대,경북
SD2000492,여성,30대,서울
SD2000495,여성,30대,경기
SD2000496,여성,30대,대전
SD2000495,여성,30대,경기
SD2000496,여성,30대,대전
SD2000497,여성,30대,서울
SD2000498,여성,10대,서울
SD2000497,여성,30대,서울
SD2000498,여성,10대,서울
SD2000499,여성,30대,서울
SD2000500,남성,30대,경남
SD2000499,여성,30대,서울
SD2000501,남성,30대,서울
SD2000500,남성,30대,경남
SD2000501,남성,30대,서울
SD2000502,여성,30대,대전
SD2000503,여성,30대,대전
SD2000502,여성,30대,대전
SD2000503,여성,30대,대전
SD2002384,여성,10대,경남
SD2002385,여성,10대,부산
SD2002384,여성,10대,경남
SD2002385,여성,10대,부산
SD2000506,남성,30대,대구
SD2000507,남성,30대,대구
SD2000506,남성,30대,대구
SD2000507,남성,30대,대구
SD2002386,여성,10대,서울
SD2002387,여성,10대,경기
SD2002386,여성,10대,서울
SD2002387,여성,10대,경기
SD2002388,여성,10대,경기
SD2002389,여성,10대,서울
SD2002388,여성,10대,경기
SD2002389,여성,10대,서울
SD2002390,여성,10대,경남
SD2002391,여성,10대,경남
SD2000513,여성,30대,울산
SD2000514,여성,30대,부산
SD2000513,여성,30대,울산
SD2000514,여성,30대,부산
SD2000515,남성,30대,부산
SD2000516,남성,30대,부산
SD2000515,남성,30대,부산
SD2000517,여성,30대,부산
SD2000516,남성,30대,부산
SD2000517,여성,30대,부산
SD2000518,여성,30대,부산
SD2000519,여성,40대,부산
SD2002390,여성,10대,경남
SD2002391,여성,10대,경남
SD2000520,남성,50대,서울
SD2000521,여성,50대,서울
SD2000520,남성,50대,서울
SD2000521,여성,50대,서울
SD2000522,여성,50대,전남
SD2000523,여성,40대,광주
SD2000524,여성,30대,경기
SD2000525,여성,30대,인천
SD2000528,여성,40대,부산
SD2000527,여성,20대,부산
SD2002392,여성,10대,부산
SD2002393,여성,10대,부산
SD2000529,여성,20대,부산
SD2000530,여성,20대,부산
SD2000529,여성,20대,부산
SD2000530,여성,20대,부산
SD2000578,남성,30대,서울
